dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,hodges_lehmann,hl_ci_low,hl_ci_high,winner,p_holm_per_baseline_family1
road_traffic,change_threshold,REPTree,False,90,8.170275894867172e-17,1.9919038089022023e-16,0.2443174930271748,0.2396642640018076,0.2490740415194371,RulesRepair,8.170275894867172e-17
road_traffic,change_feature,CART,False,120,1.5700240576771436e-21,4.7100721730314306e-21,0.209740408012759,0.1818534462930979,0.2399234708686903,RulesRepair,1.5700240576771436e-21
road_traffic,change_feature,J48,False,120,1.5842422473557825e-21,4.7100721730314306e-21,0.3120545883987293,0.2950919379210937,0.3185580172443177,RulesRepair,1.5842422473557825e-21
road_traffic,change_feature,REPTree,False,120,1.5820516558103373e-21,4.7100721730314306e-21,0.2484915975599307,0.2376910484198565,0.2581340776301041,RulesRepair,1.5820516558103373e-21
road_traffic,regrow_leaf,CART,False,180,5.7896612093411115e-31,8.185705398307444e-31,0.2428404521626703,0.2308350041268891,0.2553418212875505,RulesRepair,5.7896612093411115e-31
road_traffic,regrow_leaf,J48,False,180,3.976918567177487e-31,8.185705398307444e-31,0.3049635050057623,0.2856144727857722,0.3252183245400437,RulesRepair,3.976918567177487e-31
road_traffic,regrow_leaf,REPTree,False,180,2.728568466102481e-31,8.185705398307444e-31,0.2812455160414736,0.2659734097506475,0.2962693739536982,RulesRepair,2.728568466102481e-31
road_traffic,regrow_internal,CART,False,120,1.964321189090986e-21,5.892963567272958e-21,0.223686583772233,0.2041568548387096,0.2460307305934042,RulesRepair,1.964321189090986e-21
road_traffic,regrow_internal,J48,False,120,1.3086128910513497e-20,1.3086128910513497e-20,0.3387949040798508,0.3211536700169214,0.3554650202690571,RulesRepair,1.3086128910513497e-20
road_traffic,regrow_internal,REPTree,False,120,1.9650137043429104e-21,5.892963567272958e-21,0.2575493807164937,0.2381207939947511,0.2769046114017247,RulesRepair,1.9650137043429104e-21
sepsis,overall,CART,False,1980,0.0,0.0,0.2100731956176054,0.2059906175204119,0.2151778944919521,RulesRepair,0.0
sepsis,overall,J48,False,1980,0.0,0.0,0.3050763350120231,0.2988468123422766,0.3117434030129786,RulesRepair,0.0
sepsis,overall,REPTree,False,1980,0.0,0.0,0.1701876081620144,0.1657352163714288,0.1741509677419355,RulesRepair,0.0
sepsis,prune,CART,False,300,4.133144232312745e-51,9.330447288760406e-51,0.149999327037465,0.1457763213313692,0.1616098337238166,RulesRepair,4.133144232312745e-51
sepsis,prune,J48,False,300,4.898194540584457e-51,9.330447288760406e-51,0.2580645161290323,0.2410317624481285,0.2726112699060841,RulesRepair,4.898194540584457e-51
sepsis,prune,REPTree,False,300,3.1101490962534685e-51,9.330447288760406e-51,0.0768335252511841,0.0695516414891044,0.0991808198082022,RulesRepair,3.1101490962534685e-51
sepsis,change_label,CART,False,360,5.320749530234773e-56,1.5685775676320051e-55,0.1921257589007514,0.1775434858898016,0.2208585201781253,RulesRepair,5.320749530234773e-56
sepsis,change_label,J48,False,360,6.015897457321333e-56,1.5685775676320051e-55,0.3035410315115633,0.2812183228052541,0.3232529829649365,RulesRepair,6.015897457321333e-56
sepsis,change_label,REPTree,False,360,5.228591892106684e-56,1.5685775676320051e-55,0.1958683491145358,0.1890832461405294,0.198908064516129,RulesRepair,5.228591892106684e-56
sepsis,branch_swap,CART,False,270,3.1718792731688702e-46,9.51563781950661e-46,0.1737072610907721,0.172032048881041,0.1906292837807463,RulesRepair,3.1718792731688702e-46
